fight_id,date,name,round,title,method,sig_attempts,sig_strikes,strike_attempts,strikes,td_attempts,takedowns,sub_attempts,pass,reversals,head_attempts,head,body_attempts,body,leg_attempts,leg,distance_attempts,distance,clinch_attempts,clinch,ground_attempts,ground,win/loss
3919,1996,Geza Kalman,1,no,KO/TKO,36,21,64,48,2,0,1,1,1,23,9,8,7,5,5,11,0,22,18,3,3,W
3903,1996,David Abbott,2,no,Decision,50,21,56,27,1,0,0,0,0,49,20,1,1,0,0,39,15,11,6,0,0,L
3903,1996,Scott Ferrozzo,2,no,Decision,94,60,216,180,1,0,0,0,0,48,17,37,34,9,9,43,17,51,43,0,0,W
3904,1996,Brian Johnston,1,no,KO/TKO,5,3,6,3,0,0,0,0,0,2,0,0,0,3,3,5,3,0,0,0,0,L
3904,1996,Mark Coleman,1,no,KO/TKO,10,9,22,21,1,1,0,1,0,10,9,0,0,0,0,0,0,0,0,10,9,W
3905,1996,Fabio Gurgel,1,no,Decision,3,2,16,15,3,1,1,1,0,2,1,1,1,0,0,2,1,1,1,0,0,L
3905,1996,Jerry Bohlander,1,no,Decision,21,18,189,179,1,1,0,0,1,11,9,5,5,5,4,2,1,5,5,14,12,W
3906,1996,Sam Adkins,1,no,Submission,2,0,5,3,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,L
3906,1996,David Abbott,1,no,Submission,9,8,17,16,1,1,1,1,0,6,5,3,3,0,0,0,0,0,0,9,8,W
3907,1996,Reza Nasri,1,no,KO/TKO,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L
3907,1996,Brian Johnston,1,no,KO/TKO,8,6,10,8,1,1,0,2,0,7,5,1,1,0,0,0,0,2,1,6,5,W
3908,1996,Julian Sanchez,1,no,Submission,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L
3908,1996,Mark Coleman,1,no,Submission,7,7,8,8,1,1,2,0,0,7,7,0,0,0,0,1,1,0,0,6,6,W
3893,1996,David Abbott,1,yes,Submission,28,13,32,16,0,0,0,0,0,27,13,1,0,0,0,19,9,9,4,0,0,L
